# x_m,y_m,w_tr_right_m,w_tr_left_m
216.01,5.1944,5.6174,4.2348
216.95,6.2147,5.42,4.3626
217.64,6.9729,5.4223,4.3737
218.33,7.7309,5.4228,4.3839
219.03,8.4887,5.422,4.3923
219.72,9.2462,5.4206,4.3985
220.41,10.003,5.4183,4.4039
221.1,10.76,5.4149,4.4073
221.79,11.516,5.4117,4.4079
222.48,12.271,5.4084,4.4066
223.17,13.026,5.4059,4.4076
223.86,13.78,5.4037,4.4102
224.55,14.533,5.4017,4.4142
225.24,15.286,5.3999,4.4192
225.92,16.037,5.3987,4.4231
226.61,16.788,5.3978,4.4251
227.29,17.538,5.3975,4.4264
227.98,18.287,5.3981,4.4252
228.66,19.035,5.3995,4.424
229.35,19.783,5.4012,4.4217
230.03,20.529,5.4028,4.4164
230.71,21.275,5.4045,4.409
231.39,22.021,5.4058,4.4014
232.07,22.765,5.4063,4.3937
232.75,23.509,5.4063,4.3868
233.43,24.252,5.4063,4.381
234.11,24.995,5.4061,4.376
234.79,25.737,5.4058,4.3723
235.46,26.478,5.4045,4.37
236.14,27.219,5.4029,4.3703
236.82,27.96,5.4002,4.3721
237.5,28.7,5.3963,4.374
238.17,29.44,5.3921,4.3756
238.85,30.18,5.3884,4.3785
239.52,30.919,5.386,4.3818
240.2,31.659,5.3844,4.3843
240.88,32.397,5.3835,4.3862
241.55,33.136,5.3828,4.3885
242.23,33.874,5.3819,4.3923
242.9,34.613,5.3805,4.3965
243.58,35.351,5.3789,4.4031
244.25,36.088,5.3778,4.4116
244.93,36.826,5.3771,4.4211
245.6,37.563,5.377,4.4323
246.28,38.3,5.3778,4.4442
246.95,39.037,5.3787,4.4572
247.63,39.774,5.3802,4.4698
248.31,40.511,5.3823,4.481
248.98,41.247,5.3846,4.4923
249.66,41.983,5.3875,4.502
250.34,42.719,5.391,4.51
251.01,43.454,5.3952,4.5172
251.69,44.189,5.4001,4.5248
252.37,44.924,5.4052,4.5307
253.04,45.659,5.4101,4.5353
253.72,46.393,5.4156,4.5401
254.4,47.127,5.4218,4.5448
255.08,47.861,5.4284,4.5479
255.75,48.595,5.4344,4.55
256.43,49.328,5.4393,4.5523
257.11,50.061,5.4424,4.5544
257.79,50.794,5.4443,4.5539
258.47,51.527,5.4456,4.552
259.15,52.26,5.4461,4.5474
259.83,52.993,5.4459,4.5374
260.5,53.725,5.4447,4.5203
261.18,54.457,5.4421,4.4978
261.86,55.19,5.4371,4.4725
262.54,55.922,5.4326,4.4458
263.22,56.655,5.4289,4.4182
263.9,57.387,5.4258,4.3919
264.58,58.12,5.423,4.3667
265.26,58.853,5.4203,4.3431
265.94,59.586,5.418,4.3245
266.62,60.319,5.4156,4.3099
267.3,61.052,5.4135,4.2987
267.98,61.786,5.4122,4.2911
268.65,62.519,5.411,4.2876
269.33,63.253,5.4102,4.2887
